SRS011086	96.19
SRS011098	91.71
SRS011115	95.19
SRS011126	92.28
SRS011140	91.17
SRS011152	90.57
SRS011243	94.53
SRS011255	88.22
SRS011306	95.78
SRS011343	89.11
SRS012279	96.81
SRS012285	92.96
SRS012916	97.80
SRS012922	96.91
SRS012983	97.26
SRS012989	88.78
SRS013164	95.65
SRS013170	90.67
SRS013234	92.99
SRS013252	95.02
SRS013502	90.49
SRS013533	82.93
SRS1041114	83.46
SRS1055046	93.07
SRS1055048	90.89
SRS1055055	82.63
SRS1055059	93.38
SRS149647	98.08
SRS149671	98.39
SRS149690	95.96
SRS149696	95.81
SRS149720	97.00
SRS149882	95.50
SRS149961	98.20
SRS149973	97.12
SRS150032	93.80
SRS893272	90.83
SRS893325	87.70
SRS893332	88.61
SRS893338	92.95
SRS893352	95.31
SRS893353	94.54
SRS893355	88.67
SRS893363	93.25
SRS893385	93.51
SRS013651	87.79
SRS013663	76.48
SRS013705	95.62
SRS013723	93.80
SRS013818	91.05
SRS013836	76.19
SRS013879	96.37
SRS013927	95.10
SRS013938	95.70
SRS013946	98.01
SRS013949	94.38
SRS013950	82.53
SRS014107	69.41
SRS014124	97.63
SRS014271	96.15
SRS014402	95.46
SRS014404	97.84
SRS014470	95.08
SRS014473	96.18
SRS014476	88.30
SRS014477	64.89
SRS014524	91.49
SRS014528	91.77
SRS014573	95.00
SRS014578	94.73
SRS014684	97.31
SRS014687	98.45
SRS014690	93.84
SRS014691	83.12
SRS014728	96.30
SRS014888	95.01
SRS014894	93.50
SRS014935	95.99
SRS014941	88.15
SRS015116	94.80
SRS015128	89.14
SRS015158	94.12
SRS015174	96.17
SRS015209	97.86
SRS015215	90.29
SRS015278	95.47
SRS015296	96.59
SRS015378	91.37
SRS015395	93.85
SRS015434	94.41
SRS015440	96.56
SRS015484	92.59
SRS015537	96.57
SRS015574	93.02
SRS015590	94.07
SRS015596	92.10
SRS015644	97.36
SRS015650	91.20
SRS015686	93.01
SRS015692	89.04
SRS015755	90.01
SRS015762	96.32
SRS015893	98.08
SRS015899	96.67
SRS015941	95.29
SRS015947	94.90
SRS015989	95.31
SRS016002	97.52
SRS016037	97.63
SRS016043	88.91
SRS016086	97.87
SRS016092	96.89
SRS016133	95.53
SRS016139	92.13
SRS016200	94.66
SRS016225	96.72
SRS016319	95.83
SRS016331	87.94
SRS016342	93.76
SRS016360	92.35
SRS016393	91.35
SRS016456	92.45
SRS1041119	86.07
SRS1041121	89.43
SRS016474	86.85
SRS016529	94.96
SRS016569	96.09
SRS016575	90.95
SRS016647	93.07
SRS016665	91.07
SRS016740	90.42
SRS016746	90.96
SRS016815	96.13
SRS016858	92.07
SRS016876	90.80
SRS016969	96.87
SRS017007	96.19
SRS017025	89.56
SRS017076	90.27
SRS017088	84.04
SRS017120	95.36
SRS017139	94.43
SRS017209	93.82
SRS017227	92.54
SRS017279	89.82
SRS017304	92.19
SRS017324	93.70
SRS017330	94.08
SRS1041125	89.15
SRS017381	91.08
SRS017387	61.62
SRS017439	92.99
SRS017445	94.77
SRS017511	90.72
SRS017533	89.45
SRS017634	78.04
SRS017691	88.39
SRS017713	91.77
SRS017751	91.76
SRS017757	94.20
SRS017808	92.42
SRS017814	91.19
SRS018055	94.21
SRS018061	93.35
SRS018145	96.43
SRS018157	93.75
SRS018300	95.09
SRS018337	88.40
SRS018357	92.81
SRS018394	92.22
SRS018439	96.14
SRS018479	95.71
SRS018501	95.67
SRS018591	97.96
SRS018602	91.15
SRS018610	95.89
SRS018616	97.37
SRS018665	92.98
SRS018679	97.42
SRS018691	92.12
SRS018739	94.66
SRS018778	92.61
SRS018791	97.75
SRS018820	95.15
SRS018826	90.40
SRS018875	93.72
SRS018923	97.89
SRS018929	94.84
SRS019170	87.98
SRS019176	88.56
SRS019219	96.50
SRS019225	89.82
SRS019270	92.63
SRS019276	85.59
SRS019327	96.10
SRS019333	88.13
SRS019387	91.34
SRS019389	94.98
SRS019437	94.98
SRS019443	76.68
SRS019488	96.28
SRS019494	93.93
SRS019591	94.76
SRS019607	97.47
SRS019696	93.47
SRS019792	97.40
SRS019798	91.96
SRS019974	94.02
SRS019980	92.16
SRS020220	93.36
SRS020226	93.21
SRS020277	83.83
SRS020283	59.47
SRS020334	91.49
SRS020340	94.29
SRS020400	91.26
SRS020406	91.67
SRS020540	94.92
SRS020571	92.96
SRS020628	95.16
SRS020856	96.12
SRS042589	96.06
SRS042643	96.47
SRS043454	90.60
SRS043755	89.13
SRS049389	95.37
SRS051244	86.26
SRS052095	80.16
SRS053630	97.17
SRS053854	97.60
SRS054653	91.74
SRS056323	95.24
SRS057539	96.63
SRS058808	91.48
SRS020862	91.73
SRS022143	94.26
SRS022149	75.39
SRS022281	93.79
SRS022530	94.52
SRS022536	94.77
SRS022719	95.56
SRS022725	94.32
SRS022883	95.89
SRS023352	94.90
SRS023358	76.29
SRS042307	87.61
SRS043461	96.60
SRS043494	96.59
SRS043663	97.43
SRS043942	91.30
SRS044366	79.74
SRS045313	72.50
SRS045588	83.38
SRS045602	97.50
SRS046595	96.52
SRS047126	92.99
SRS047824	97.48
SRS048744	94.74
SRS049211	89.94
SRS050244	96.18
SRS050709	54.95
SRS051228	92.30
SRS051941	91.68
SRS052227	89.75
SRS052570	93.74
SRS052604	80.18
SRS052876	93.28
SRS053895	94.79
SRS054196	94.06
SRS054687	93.67
SRS055401	85.66
SRS055426	86.45
SRS056090	94.66
SRS056113	93.12
SRS056327	95.73
SRS056951	77.80
SRS057244	94.12
SRS057619	95.10
SRS057791	96.62
SRS058053	85.00
SRS058693	95.06
SRS063485	96.98
SRS062418	82.23
SRS062714	94.16
SRS063373	94.92
SRS063823	47.92
SRS064197	93.09
SRS064466	72.55
SRS064937	93.21
SRS065299	96.92
SRS075765	96.01
SRS075771	95.81
SRS075870	95.36
SRS075876	95.17
SRS075987	95.29
SRS075993	88.66
SRS076764	96.89
SRS076770	95.03
SRS076868	95.71
SRS076874	91.27
SRS077239	95.74
SRS077245	95.00
SRS077384	94.69
SRS077390	93.90
SRS077441	96.29
SRS077447	94.77
SRS077633	94.91
SRS077639	93.06
SRS097912	95.73
SRS097918	95.12
SRS097966	93.08
SRS097972	93.93
SRS098045	93.90
SRS098057	94.55
SRS1054712	95.60
SRS1054853	90.70
SRS1054881	93.58
SRS893260	95.02
SRS893280	94.25
SRS893283	90.35
SRS893291	95.55
SRS893318	89.74
